ID,Name,Description,Price,Stock,Status,Image Filename,Seller Username
1,text,text,100.0,100,active,1_20250424150132325954.jpg,buyer01@cxk.com
2,666,666,666.0,666,inactive,2_20250424150132384885.jpeg,buyer01@cxk.com
4,Nike Air Force 1,经典白色板鞋，透气舒适，男女同款，运动休闲,749.0,120,active,4_20250424150132409030.jpeg,seller01@cxk.com
5,Apple iPhone 14 Pro,"6.1英寸超视网膜XDR显示屏，A16仿生芯片，深紫色，128GB存储
",7999.0,50,active,5_20250424150132429645.jpeg,seller01@cxk.com
6,飞利浦电动牙刷HX6806,声波震动，防水设计，2分钟智能计时，附赠2个刷头,299.0,85,active,6_20250424150132448735.jpeg,seller01@cxk.com
7,小米米家智能台灯Pro,高显色LED，三种色温调节，APP智能控制,269.0,36,active,7_20250424150132468675.jpeg,seller01@cxk.com
8,清风抽纸3层120抽*24包,100%原生木浆纸巾，柔韧厚实，家用实惠装,59.9,356,active,8_20250424150132487803.jpeg,seller01@cxk.com
9,蓝月亮洗衣液3kg袋装补充装薰衣草香,深层洁净，低泡易漂，温和不伤手 限时特惠，欲购从速！,412.96,2420,active,9_20250424150132506630.jpeg,seller01@cxk.com
10,完美日记动物眼影盘锦鲤盘12色哑光珠光,色彩丰富，粉质细腻易上色，打造多样眼妆 限时特惠，欲购从速！,1310.9,1313,active,10_20250424150132526561.jpeg,seller01@cxk.com
11,高露洁牙膏180g劲白系列,有效去除牙渍，清新口气，含氟防蛀 限时特惠，欲购从速！,344.99,186,active,11_20250424150132546804.jpeg,seller01@cxk.com
12,完美日记动物眼影盘锦鲤盘12色,色彩丰富，粉质细腻易上色，打造多样眼妆,1133.62,3012,active,12_20250424150132567396.jpeg,seller01@cxk.com
13,三只松鼠坚果大礼包9袋装,精选多种坚果果干，营养丰富，休闲佳品 限时特惠，欲购从速！,171.8,4024,active,13_20250424150132586584.jpeg,seller01@cxk.com
14,奥利奥夹心饼干原味,经典口味，扭一扭舔一舔泡一泡，美味分享,374.8,880,active,14_20250424150132606583.jpeg,seller01@cxk.com
15,李宁运动鞋休闲板鞋42减震回弹,专业运动科技，提供良好支撑和舒适脚感,1411.92,2377,active,15_20250424150132626096.jpeg,seller01@cxk.com
16,安踏运动外套连帽防风XL透气速干,轻便舒适，防风防泼水，适合户外运动 限时特惠，欲购从速！,561.36,4498,active,16_20250424150132645904.jpeg,seller01@cxk.com
17,优衣库T恤纯色圆领XL,柔软舒适，简约设计，多色可选，适合日常穿着,1479.9,286,active,17_20250424150132664560.jpeg,seller01@cxk.com
18,伊利纯牛奶200ml*24盒,优质奶源，浓郁醇香，补充蛋白质和钙质,271.81,2475,active,18_20250424150132683478.jpeg,seller01@cxk.com
19,小米空气净化器4 Lite家用卧室客厅,高效滤网，快速净化室内空气，守护家人健康 功能特点：除甲醛。,2009.9,868,active,19_20250424150132702154.jpeg,seller01@cxk.com
20,维达卷纸3层160g27卷蓝色经典,精选原生木浆，加厚设计，柔韧舒适,272.54,1105,active,20_20250424150132721672.jpeg,seller01@cxk.com
21,超能洗衣凝珠50颗除菌除螨,一颗搞定，方便快捷，8倍洁净力,34.4,722,active,21_20250424150132740497.jpeg,seller01@cxk.com
22,雅诗兰黛小棕瓶精华100ml,核心修护科技，淡化细纹，强韧肌底，彻夜修护,480.99,2743,active,22_20250424150132761427.jpeg,seller01@cxk.com
23,罗技无线鼠标Lift垂直石墨灰蓝牙办公,精准追踪，多设备切换，舒适握感提升效率 功能特点：静音按键。,1058.83,116,active,23_20250424150132794948.jpeg,seller01@cxk.com
24,Zara连衣裙碎花雪纺S,时尚设计，凸显气质，适合多种场合,650.61,2743,active,24_20250424150132837903.jpeg,seller01@cxk.com
25,蓝月亮洗衣液2kg瓶装,深层洁净，低泡易漂，温和不伤手,100.44,2225,active,25_20250424150132865010.jpeg,seller01@cxk.com
26,闪迪高速U盘256GB固态闪存盘,高速传输，稳定耐用，小巧便携,7914.9,2031,active,26_20250424150132918141.jpeg,seller01@cxk.com
27,华为Mate 60 Pro512GB白沙银,卫星通话，鸿蒙系统，超强信号，旗舰影像,3270.99,56,active,27_20250424150133003686.jpeg,seller01@cxk.com
28,雅诗兰黛小棕瓶精华100ml面部精华液,核心修护科技，淡化细纹，强韧肌底，彻夜修护,1060.9,742,active,28_20250424150133036782.jpeg,seller01@cxk.com
29,超能洗衣凝珠100颗除菌除螨,一颗搞定，方便快捷，8倍洁净力 限时特惠，欲购从速！,122.01,4617,active,29_20250424150133066009.jpeg,seller01@cxk.com
30,苏泊尔电磁炉2200W,加热快速均匀，安全可靠，易清洁 功能特点：防水面板。,5717.47,670,active,30_20250424150133088256.jpeg,seller01@cxk.com
31,农夫山泉饮用天然水4L*4桶,源自天然水源，口感清冽甘甜，补充水分 限时特惠，欲购从速！,412.86,4142,active,31_20250424150133111319.jpeg,seller01@cxk.com
32,华为Mate 60 Pro512GB雅川青麒麟芯片,卫星通话，鸿蒙系统，超强信号，旗舰影像 限时特惠，欲购从速！,7183.8,460,active,32_20250424150133135805.jpeg,seller01@cxk.com
33,SK-II神仙水230mlPITERA精华,蕴含超过90%PITERA™，多维度改善肌肤问题，晶莹剔透 功能特点：调理肤质。,187.75,879,active,33_20250424150133158622.jpeg,seller01@cxk.com
34,蓝月亮洗衣液2kg薰衣草香,深层洁净，低泡易漂，温和不伤手,11.93,1147,active,34_20250424150133179759.jpeg,seller01@cxk.com
35,雅诗兰黛小棕瓶精华50ml,核心修护科技，淡化细纹，强韧肌底，彻夜修护 功能特点：维稳。,1192.26,3003,active,35_20250424150133201098.jpeg,seller01@cxk.com
36,闪迪高速U盘128GB固态闪存盘,高速传输，稳定耐用，小巧便携 功能特点：读速400MB/s。 限时特惠，欲购从速！,1030.99,3386,active,36_20250424150133222698.jpeg,seller01@cxk.com
37,伊利纯牛奶250ml*16盒全脂灭菌乳,优质奶源，浓郁醇香，补充蛋白质和钙质 限时特惠，欲购从速！,104.62,1428,active,37_20250424150133245099.jpeg,seller01@cxk.com
38,BoseQC Ultra 耳塞消噪版,沉浸式音频，全天舒适佩戴，领先消噪技术 功能特点：蓝牙5.3。,4257.8,1272,active,38_20250424150133270157.jpeg,seller01@cxk.com
39,美的电饭煲4L智能预约多功能,智能定时预约，聚能加热，煮饭更香云柔煮 限时特惠，欲购从速！,299.0,1200,active,39_20250424150133296111.jpeg,seller01@cxk.com
40,小米手环8 NFC版腕带运动计步,全天心率监测，运动健康管理，支持支付宝快捷支付 限时秒杀！,229.9,950,active,JLUgwi8ZwPLg8QpV-GXLpA.jpg,seller01@cxk.com
